Date,Price,Open,High,Low,Change %
24-Jan-18,1.2408,1.2299,1.2417,1.2293,0.89%
25-Jan-18,1.2396,1.2408,1.2537,1.2364,-0.10%
26-Jan-18,1.2421,1.2395,1.2495,1.2371,0.20%
29-Jan-18,1.2383,1.2427,1.2436,1.2336,-0.31%
30-Jan-18,1.2402,1.2383,1.2455,1.2335,0.15%
31-Jan-18,1.2421,1.2401,1.2476,1.2386,0.15%
1-Feb-18,1.251,1.2414,1.2524,1.2386,0.72%
2-Feb-18,1.2462,1.2508,1.2519,1.2409,-0.38%
5-Feb-18,1.2368,1.2455,1.2475,1.2362,-0.75%
6-Feb-18,1.2377,1.2367,1.2434,1.2314,0.07%
7-Feb-18,1.2264,1.2378,1.2407,1.2247,-0.91%
8-Feb-18,1.2247,1.2264,1.2297,1.2212,-0.14%
9-Feb-18,1.2235,1.2245,1.2289,1.2206,-0.10%
12-Feb-18,1.2292,1.2253,1.2298,1.2234,0.47%
13-Feb-18,1.2352,1.2293,1.2373,1.2285,0.49%
14-Feb-18,1.245,1.2352,1.2467,1.2276,0.79%
15-Feb-18,1.2506,1.2449,1.2511,1.2447,0.45%
16-Feb-18,1.2406,1.2506,1.2557,1.2394,-0.80%
19-Feb-18,1.2408,1.2409,1.2435,1.2368,0.02%
20-Feb-18,1.2338,1.2409,1.2414,1.232,-0.56%
21-Feb-18,1.2284,1.2338,1.2361,1.2281,-0.44%
22-Feb-18,1.2331,1.2283,1.2354,1.226,0.38%
23-Feb-18,1.2293,1.2329,1.2337,1.2279,-0.31%
26-Feb-18,1.2318,1.2299,1.2356,1.2278,0.20%
27-Feb-18,1.2232,1.2317,1.2348,1.2221,-0.70%
28-Feb-18,1.2194,1.2232,1.2243,1.2188,-0.31%
1-Mar-18,1.2268,1.2193,1.2272,1.2153,0.61%
2-Mar-18,1.2317,1.2266,1.2336,1.225,0.40%
5-Mar-18,1.2336,1.2323,1.2366,1.2268,0.15%
6-Mar-18,1.2404,1.2336,1.2422,1.2328,0.55%
7-Mar-18,1.2413,1.2404,1.2445,1.2385,0.07%
8-Mar-18,1.2312,1.2411,1.2448,1.2298,-0.81%
9-Mar-18,1.2307,1.2312,1.2336,1.2273,-0.04%
12-Mar-18,1.2334,1.2311,1.2347,1.2291,0.22%
13-Mar-18,1.239,1.2334,1.2408,1.2314,0.45%
14-Mar-18,1.2367,1.239,1.2414,1.2347,-0.19%
15-Mar-18,1.2305,1.2366,1.2385,1.2299,-0.50%
16-Mar-18,1.2289,1.2305,1.2338,1.2261,-0.13%
19-Mar-18,1.2335,1.2284,1.2361,1.2258,0.37%
20-Mar-18,1.2242,1.2335,1.2356,1.2239,-0.75%
21-Mar-18,1.2338,1.2242,1.2351,1.2241,0.78%
22-Mar-18,1.2302,1.2337,1.2389,1.2285,-0.29%
23-Mar-18,1.2353,1.2302,1.2375,1.2301,0.41%
26-Mar-18,1.2443,1.2348,1.2463,1.2341,0.73%
27-Mar-18,1.2403,1.2444,1.2478,1.2373,-0.32%
28-Mar-18,1.2308,1.2403,1.2424,1.23,-0.77%
29-Mar-18,1.2302,1.2308,1.2335,1.2282,-0.05%
30-Mar-18,1.2323,1.2301,1.2331,1.2293,0.17%
2-Apr-18,1.2302,1.2323,1.2346,1.2282,-0.17%
3-Apr-18,1.227,1.2304,1.2336,1.2253,-0.26%
4-Apr-18,1.2278,1.2269,1.2315,1.2256,0.07%
5-Apr-18,1.224,1.2278,1.2292,1.2218,-0.31%
6-Apr-18,1.2283,1.224,1.2292,1.2214,0.35%
9-Apr-18,1.2321,1.2279,1.2331,1.2261,0.31%
10-Apr-18,1.2356,1.232,1.2379,1.2303,0.28%
11-Apr-18,1.2367,1.2357,1.2397,1.2347,0.09%
12-Apr-18,1.2327,1.2368,1.2382,1.23,-0.32%
13-Apr-18,1.2331,1.2327,1.2348,1.2307,0.03%
16-Apr-18,1.238,1.233,1.2395,1.2325,0.40%
17-Apr-18,1.237,1.2378,1.2413,1.2335,-0.08%
18-Apr-18,1.2373,1.2369,1.2398,1.2343,0.02%
19-Apr-18,1.2346,1.2373,1.2402,1.2329,-0.22%
20-Apr-18,1.2288,1.2346,1.2354,1.225,-0.47%
23-Apr-18,1.2209,1.2289,1.2292,1.2198,-0.64%
24-Apr-18,1.2232,1.2209,1.2247,1.2182,0.19%
25-Apr-18,1.2161,1.2232,1.224,1.216,-0.58%
26-Apr-18,1.2103,1.2161,1.2211,1.2096,-0.48%
27-Apr-18,1.213,1.2105,1.2135,1.2055,0.22%
30-Apr-18,1.2079,1.2125,1.2141,1.2064,-0.42%
1-May-18,1.1993,1.2076,1.2086,1.1981,-0.71%
2-May-18,1.1951,1.1992,1.2033,1.1938,-0.35%
3-May-18,1.1988,1.1951,1.2009,1.1946,0.31%
4-May-18,1.196,1.1989,1.1997,1.1911,-0.23%
7-May-18,1.1922,1.1953,1.198,1.1898,-0.32%
8-May-18,1.1864,1.1924,1.1941,1.1838,-0.49%
9-May-18,1.185,1.1863,1.1898,1.1822,-0.12%
10-May-18,1.1915,1.1852,1.1948,1.1843,0.55%
11-May-18,1.1944,1.1917,1.197,1.1891,0.24%
14-May-18,1.1927,1.1947,1.1998,1.1926,-0.14%
15-May-18,1.1838,1.1925,1.1939,1.1817,-0.75%
16-May-18,1.1807,1.1837,1.1854,1.1762,-0.26%
17-May-18,1.1795,1.1808,1.1839,1.1775,-0.10%
18-May-18,1.1778,1.1796,1.1825,1.1749,-0.14%
21-May-18,1.1791,1.1764,1.1797,1.1717,0.11%
22-May-18,1.1779,1.1792,1.183,1.1754,-0.10%
23-May-18,1.1697,1.1778,1.179,1.1675,-0.70%
24-May-18,1.172,1.1695,1.175,1.1688,0.20%
