Date,Price,Open,High,Low,Vol.,Change %
4/10/2018,2655.00,"2,617.75","2,666.25","2,612.25",2.00M,1.37%
4/11/2018,2641.00,"2,654.50","2,661.25","2,626.00",1.64M,-0.53%
4/12/2018,2664.00,"2,642.50","2,675.00","2,639.75",1.30M,0.87%
4/13/2018,2657.25,"2,661.75","2,680.50","2,644.75",1.71M,-0.25%
4/16/2018,2681.75,"2,673.25","2,687.00","2,660.75",1.24M,0.92%
4/17/2018,2706.50,"2,679.25","2,713.75","2,678.75",1.25M,0.92%
4/18/2018,2709.75,"2,704.50","2,718.50","2,703.75",1.04M,0.12%
4/19/2018,2693.00,"2,711.75","2,713.25","2,681.50",1.58M,-0.62%
4/20/2018,2671.50,"2,692.50","2,698.25","2,659.75",1.60M,-0.80%
4/23/2018,2671.25,"2,683.00","2,684.75","2,657.25",1.24M,-0.01%
